year,grp,Freq,,,,,,,,,,,,,,
2013,5M,288,,,,,,,,,,,,,,
2014,5M,260,,,,,,,,,,,,,,
2006,6F,8,,,,,,,,,,,,,,
2007,6F,6,,,,,,,,,,,,,,
2008,6F,15,,,,,,,,,,,,,,
2009,6F,3,,,,,,,,,,,,,,
2010,6F,16,,,,,,,,,,,,,,
2011,6F,16,,,,,,,,,,,,,,
2012,6F,25,,,,,,,,,,,,,,
2013,6F,14,,,,,,,,,,,,,,
2014,6F,15,,,,,,,,,,,,,,
2006,6M,68,,,,,,,,,,,,,,
2007,6M,66,,,,,,,,,,,,,,
2008,6M,76,,,,,,,,,,,,,,
2009,6M,77,,,,,,,,,,,,,,
2010,6M,91,,,,,,,,,,,,,,
2011,6M,89,,,,,,,,,,,,,,
2012,6M,89,,,,,,,,,,,,,,
2013,6M,120,,,,,,,,,,,,,,
2014,6M,90,,,,,,,,,,,,,,
2006,7F,0,,,,,,,,,,,,,,
2007,7F,1,,,,,,,,,,,,,,
2008,7F,3,,,,,,,,,,,,,,
2009,7F,3,,,,,,,,,,,,,,
2010,7F,3,,,,,,,,,,,,,,
2011,7F,2,,,,,,,,,,,,,,
2012,7F,4,,,,,,,,,,,,,,
2013,7F,4,,,,,,,,,,,,,,
2014,7F,6,,,,,,,,,,,,,,
2006,7M,23,,,,,,,,,,,,,,
2007,7M,33,,,,,,,,,,,,,,
2008,7M,27,,,,,,,,,,,,,,
2009,7M,33,,,,,,,,,,,,,,
2010,7M,29,,,,,,,,,,,,,,
2011,7M,26,,,,,,,,,,,,,,
2012,7M,41,,,,,,,,,,,,,,
2013,7M,30,,,,,,,,,,,,,,
2014,7M,45,,,,,,,,,,,,,,
2006,8F,0,,,,,,,,,,,,,,
2007,8F,0,,,,,,,,,,,,,,
2008,8F,1,,,,,,,,,,,,,,
2009,8F,1,,,,,,,,,,,,,,
2010,8F,1,,,,,,,,,,,,,,
2011,8F,1,,,,,,,,,,,,,,
2012,8F,1,,,,,,,,,,,,,,
2013,8F,0,,,,,,,,,,,,,,
2014,8F,0,,,,,,,,,,,,,,
2006,8M,5,,,,,,,,,,,,,,
2007,8M,7,,,,,,,,,,,,,,
2008,8M,2,,,,,,,,,,,,,,
2009,8M,5,,,,,,,,,,,,,,
2010,8M,11,,,,,,,,,,,,,,
2011,8M,5,,,,,,,,,,,,,,
2012,8M,8,,,,,,,,,,,,,,
2013,8M,9,,,,,,,,,,,,,,
2014,8M,9,,,,,,,,,,,,,,
